danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist,artist popularity,followers,genre,genre code
0.527,0.471,8,-9.901,1,0.0314,0.2,0.0,0.0981,0.571,92.583,audio_features,1koFbbNy8BJvG63B0ExZEQ,spotify:track:1koFbbNy8BJvG63B0ExZEQ,https://api.spotify.com/v1/tracks/1koFbbNy8BJvG63B0ExZEQ,https://api.spotify.com/v1/audio-analysis/1koFbbNy8BJvG63B0ExZEQ,124307,4,The Beatles,87,18129906,rock,0
0.328,0.249,2,-11.777,1,0.0272,0.754,5.77e-06,0.134,0.162,81.257,audio_features,1rxoyGj1QuPoVi8fOft1Kt,spotify:track:1rxoyGj1QuPoVi8fOft1Kt,https://api.spotify.com/v1/tracks/1rxoyGj1QuPoVi8fOft1Kt,https://api.spotify.com/v1/audio-analysis/1rxoyGj1QuPoVi8fOft1Kt,165667,4,The Beatles,87,18129906,rock,0
0.406,0.219,7,-13.155,1,0.0359,0.808,0.599,0.15,0.271,105.345,audio_features,7ExawMDcRz2lMgNEjjYzdr,spotify:track:7ExawMDcRz2lMgNEjjYzdr,https://api.spotify.com/v1/tracks/7ExawMDcRz2lMgNEjjYzdr,https://api.spotify.com/v1/audio-analysis/7ExawMDcRz2lMgNEjjYzdr,134027,4,The Beatles,87,18129906,rock,0
0.593,0.666,7,-10.766,1,0.0485,0.267,0.000226,0.126,0.877,91.054,audio_features,6umlrYhBfLxECERl8CBk6p,spotify:track:6umlrYhBfLxECERl8CBk6p,https://api.spotify.com/v1/tracks/6umlrYhBfLxECERl8CBk6p,https://api.spotify.com/v1/audio-analysis/6umlrYhBfLxECERl8CBk6p,113973,4,The Beatles,87,18129906,rock,0
0.591,0.551,0,-6.605,1,0.0308,0.07,0.0,0.0942,0.81,121.949,audio_features,3jR8Xw0qPyGGv8bvFtNmDw,spotify:track:3jR8Xw0qPyGGv8bvFtNmDw,https://api.spotify.com/v1/tracks/3jR8Xw0qPyGGv8bvFtNmDw,https://api.spotify.com/v1/audio-analysis/3jR8Xw0qPyGGv8bvFtNmDw,167013,4,The Beatles,87,18129906,rock,0
0.818,0.728,10,-8.331,1,0.0314,0.232,0.0642,0.251,0.975,113.059,audio_features,1gFNm7cXfG1vSMcxPpSxec,spotify:track:1gFNm7cXfG1vSMcxPpSxec,https://api.spotify.com/v1/tracks/1gFNm7cXfG1vSMcxPpSxec,https://api.spotify.com/v1/audio-analysis/1gFNm7cXfG1vSMcxPpSxec,188960,4,The Beatles,87,18129906,rock,0
0.249,0.0994,6,-19.266,0,0.04,0.959,0.926,0.454,0.0357,118.99,audio_features,6n42oei7aEx2I0dcluKAGx,spotify:track:6n42oei7aEx2I0dcluKAGx,https://api.spotify.com/v1/tracks/6n42oei7aEx2I0dcluKAGx,https://api.spotify.com/v1/audio-analysis/6n42oei7aEx2I0dcluKAGx,136693,3,The Beatles,87,18129906,rock,0
0.494,0.47,8,-9.599,0,0.0301,0.21,0.0,0.28,0.698,103.477,audio_features,2ylCrFiBu98SC0vFfaCent,spotify:track:2ylCrFiBu98SC0vFfaCent,https://api.spotify.com/v1/tracks/2ylCrFiBu98SC0vFfaCent,https://api.spotify.com/v1/audio-analysis/2ylCrFiBu98SC0vFfaCent,180320,4,The Beatles,87,18129906,rock,0
0.581,0.28,4,-9.091,0,0.0381,0.936,1.56e-05,0.305,0.813,137.831,audio_features,5GjPQ0eI7AgmOnADn1EO6Q,spotify:track:5GjPQ0eI7AgmOnADn1EO6Q,https://api.spotify.com/v1/tracks/5GjPQ0eI7AgmOnADn1EO6Q,https://api.spotify.com/v1/audio-analysis/5GjPQ0eI7AgmOnADn1EO6Q,126533,4,The Beatles,87,18129906,rock,0
0.754,0.571,2,-8.547,1,0.0421,0.0173,0.0,0.3,0.82,122.463,audio_features,06ypiqmILMdVeaiErMFA91,spotify:track:06ypiqmILMdVeaiErMFA91,https://api.spotify.com/v1/tracks/06ypiqmILMdVeaiErMFA91,https://api.spotify.com/v1/audio-analysis/06ypiqmILMdVeaiErMFA91,148893,4,The Beatles,87,18129906,rock,0
